tcr_name,closest_tcr
3utt,"['7rtr', '7rm4', '3hg1', '2jcc', '6mtm', '8en8', '5hhm', '7r80']"
6vrm,"['6bj3', '6bj8', '4mxq']"
3gsn,5d2n
8wul,4jry
1kj2,4jry
6rpa,7nmg
5e9d,7pbe
7qpj,"['6l9l', '7n6e']"
4n5e,"['4ms8', '4mvb', '3tfk', '4n0c', '7q9b', '2ypl', '5c0b']"
7rm4,8enh
8f5a,"['5bs0', '5brz']"
5jhd,"['5jzi', '3tpu']"
8dnt,"['5nht', '5yxu']"
7ndq,6rp9
6ulr,7pb2
6l9l,"['6tro', '6ulr', '2f54', '7jwi']"
3tfk,"['4ms8', '4mvb', '5swz', '6vm7', '7q9b', '2ypl', '5c0b']"
8wte,4jfd
5bs0,8shi
5eu6,"['2bnr', '6q3s', '2f53', '2f54', '5hyj']"
3tjh,"['4ms8', '4mvb', '3tfk', '4n0c', '4n5e', '3tpu', '4mxq', '6dkp']"
1mi5,"['3kps', '3kpr']"
5d2n,3dxa
5d2l,3gsn
6zkz,"['7pdw', '3vxm', '5hho']"
6r2l,7jwj
5nht,5yxu
6rp9,8dnt
6vqo,3o4l
7r80,8wte
2vlr,"['5w1w', '6bj3', '2uwe', '5xot']"
7n2p,"['7n2r', '2f53']"
7pb2,7r80
1nam,"['5c0c', '3qeq']"
3dxa,6rsy
2e7l,6avf
7ow6,8gvi
6uon,7qpj
7pbe,"['7rtr', '7n1f']"
3kps,"['3e3q', '3vxu']"
7ndt,4mnq
7n2s,7rk7
8d5q,"['1nam', '5c0c', '3qeq']"
3tpu,"['4ms8', '4mvb', '3tfk', '4n0c', '4n5e', '2ypl', '5c0b']"
7n2r,"['1mwa', '2f53']"
6avg,8gom
3vxm,6rpa
4jfe,"['7ow6', '7n5c', '7n2s', '3tjh']"
6avf,"['4g9f', '6vmc']"
6vm7,7n5p
6vma,"['6amu', '3vxs']"
5c07,"['3utt', '7rm4', '3hg1', '2jcc', '6mtm', '8en8', '5hhm', '7r80']"
5sws,"['6bj2', '6vmx']"
3pwp,"['2gj6', '1qrn', '1oga', '2oi9', '6g9q', '5brz', '6vrm', '3h9s', '5til']"
7q9b,4ftv
3ffc,7pbc
5isz,5hho
1mwa,"['7n2p', '5c0a', '2esv']"
7byd,7rrg
4qrp,7q9a
8gvb,5yxn
7dzn,3tfk
1g6r,"['1mwa', '2oi9', '2esv']"
7phr,2vlr
4g9f,6vmc
7n5c,"['6ulr', '2f54', '7jwi']"
6p64,"['8gon', '6avg']"
2nx5,1lp9
4qrr,3pqy
8shi,"['2bnr', '6q3s', '2f53', '2f54', '5hyj']"
2ckb,"['1mwa', '2oi9', '1g6r']"
7n4k,"['2f54', '7jwi']"
3vxs,3vxr
5nmf,"['5nmg', '5nme']"
7jwi,5swz
3mv9,"['3mv8', '4prh', '6rsy', '5e9d', '5isz']"
3d3v,"['2gj6', '1qrn', '3pwp', '1qse', '6g9q', '5brz', '6vrm', '3h9s', '5til']"
5m01,"['5m02', '5m00', '2pye', '1g6r', '8gvg']"
2jcc,"['2uwe', '5d2l', '2j8u']"
2esv,7ndt
5nme,5nmg
8gom,8gon
2ak4,3kxf
2j8u,"['2uwe', '2jcc', '2j8u']"
5til,"['5m02', '5m00', '5m01', '6g9q', '5tje']"
5m00,"['5m02', '2ak4', '2pye', '1g6r', '8gvg']"
6vm9,"['6vma', '6vmc']"
1qsf,"['2gj6', '1qrn', '3pwp', '1qse', '3d3v', '3d39', '3qfj', '3h9s', '1ao7']"
7nme,"['7nmg', '4g8g']"
4mnq,5men
8en8,"['8eo8', '8enh']"
6dkp,"['6d78', '4l3e', '5c0b']"
6q3s,"['2bnr', '7nmf', '3vxr', '5hyj']"
6vm8,6vm7
5tje,"['5m02', '5m00', '5m01', '6g9q', '8gvg']"
6am5,"['3qdj', '3qdg', '7nme']"
3w0w,3vxu
5c08,"['3utt', '5c07', '3hg1', '2jcc', '6mtm', '8en8', '5hhm', '7r80']"
1qse,"['2gj6', '1qrn', '3pwp', '2oi9', '6g9q', '5brz', '6vrm', '3h9s', '5til']"
4l3e,"['6d78', '8wul']"
7nmf,"['7nmg', '7nme']"
1lp9,"['2uwe', '2jcc', '2j8u']"
4mvb,"['4ms8', '4qrr', '5swz', '6vm7', '7q9b', '2ypl', '5c0b']"
5yxn,5jzi
8gvi,"['8gvb', '5yxn']"
6tmo,"['4jfe', '6eqb', '7n2s', '3tjh']"
5c09,"['3utt', '5c07', '5c08', '2jcc', '6mtm', '8en8', '5hhm', '7r80']"
1ao7,"['2gj6', '1qrn', '3pwp', '1qse', '3d3v', '3d39', '3qfj', '3h9s', '5til']"
2vlj,"['1oga', '2vlk', '5xot']"
3pqy,"['7n4k', '7jwi']"
5hho,"['1oga', '2vlk', '2vlj', '5xot']"
5nqk,5nht
2vlk,"['1oga', '2uwe', '5xot']"
1oga,"['6bj3', '2uwe', '5xot']"
4prh,"['3mv8', '3sjv', '6rsy', '5e9d', '5isz']"
5xot,"['6bj3', '6bj8']"
5w1w,5w1v
6uln,"['6ulr', '7pb2']"
5hhm,"['1oga', '2vlk', '2vlj']"
4pri,"['3mv8', '4prh', '3mv9', '3mv7', '4prp']"
7n1f,7rtr
3uts,"['3utt', '5c07', '5c08', '5c09', '5c0a', '8en8', '5hhm', '7r80']"
4ftv,"['2gj6', '1qrn', '3pwp', '1qse', '3d3v', '3d39', '5brz', '6vrm', '3h9s', '5til']"
5brz,5bs0
6zkw,"['6zkz', '6zky', '5hho']"
3e3q,6avf
2p5w,"['2p5e', '6uon']"
6d78,"['6r2l', '8wul']"
6zky,"['6zkz', '3vxm', '5hho']"
3h9s,"['2gj6', '1qrn', '3pwp', '1qse', '3d3v', '3d39', '3qfj', '3h9s', '5til']"
2pye,"['2p5e', '2p5w']"
7pbc,7pdw
6zkx,"['6zkz', '6zky', '6zkw']"
4qok,"['7q99', '3hg1', '6eqa', '7q9a']"
3kpr,"['3kps', '3vxu']"
3e2h,2e7l
6eqb,"['4jfe', '7n5c', '7n2s', '3tjh']"
7n2q,"['7n2r', '7n2p']"
4prp,"['3mv8', '4prh', '3mv9', '3mv7', '5isz']"
6eqa,"['7q99', '3hg1', '5m01', '5eu6']"
7ow5,7ow6
2ol3,"['1nam', '3qeq']"
7ndu,7ndq
5c0b,"['3utt', '5c07', '5c08', '5c09', '5c0a', '3uts', '5c0c', '8wul', '7r80']"
7q9a,"['7q99', '3hg1', '6eqa', '5eu6']"
4jfd,"['4jfe', '6eqb', '6tmo', '4jff', '4jry']"
5yxu,"['5jzi', '5yxn']"
2bnq,"['2bnr', '6q3s', '2f53', '2f54', '5nmf']"
2oi9,"['1mwa', '5c0a', '2esv']"
2f54,"['2bnr', '6q3s', '2f53', '5hyj']"
7pdw,7n6e
7n5p,"['7n4k', '3pqy']"
5c0c,"['3utt', '5c07', '5c08', '5c09', '5c0a', '3uts', '5hhm', '7r80']"
6vmc,"['6vma', '3vxs']"
5c0a,"['3utt', '5c07', '5c08', '5c09', '6mtm', '8en8', '5hhm', '7r80']"
1qrn,"['2gj6', '2p5e', '1oga', '2oi9', '6g9q', '5brz', '6vrm', '3h9s', '5til']"
8gvg,8gvb
3qdg,"['3qdj', '7ndu', '7nme']"
2bnr,"['2p5w', '7nmf', '3vxr', '5hyj']"
4mxq,"['4ms8', '4mvb', '3tfk', '4n0c', '4n5e', '3tpu', '5c0b']"
6g9q,"['5m02', '5m00', '5m01', '1g6r', '8gvg']"
4jff,"['4jfe', '6eqb', '6tmo', '3tjh']"
4g8g,4g9f
5hyj,"['3utt', '5c07', '5c08', '5c09', '5c0a', '3uts', '5c0c', '8wul', '7pb2']"
2f53,"['2bnr', '6q3s', '3vxr', '5hyj']"
3d39,"['2gj6', '1qrn', '3pwp', '1qse', '3d3v', '5brz', '6vrm', '3h9s', '5til']"
3qeq,3qdm
3qfj,"['2gj6', '1qrn', '3pwp', '1qse', '3d3v', '3d39', '6vrm', '3h9s', '5til']"
3mv7,"['3mv8', '4prh', '3mv9', '5e9d', '5isz']"
6bj8,"['6bj3', '4mxq']"
7dzm,7dzn
4n0c,"['4ms8', '4mvb', '3tfk', '6vm7', '7q9b', '2ypl', '5c0b']"
22560,7n6e
33315,"['3qdm', '3qeq']"
30403,8i5c
32798,"['7pdw', '7pbc']"
32596,"['8gvb', '8gvi', '8gvg']"
31902,6avg
32385,"['8eo8', '8enh', '8en8']"
31744,8i5c
31901,6avg
31741,"['5jzi', '5yxn', '5yxu']"
31685,4mji
21392,"['7nmg', '7nme', '7nmf']"
32442,4mji
32732,7pbe
33316,5eu6
33317,"['7rtr', '7n1f']"
32435,"['3kxf', '2ak4']"
31937,3vxm
32355,6rsy
31772,"['7dzn', '7dzm']"
31881,4mji
30993,5tez
32015,"['4ms8', '4mvb', '3tfk', '4n0c', '4n5e', '3tpu', '4mxq', '6dkp']"
30112,7pbe
21398,"['6vma', '6vmc', '6vm9']"
32719,5d2n
31832,"['6bj3', '6bj8', '5xot']"
22574,6uon
32465,6vmx
32681,5isz
32029,3dxa
32037,"['3vxu', '3w0w']"
31989,7n1e
32096,8gvi
34497,"['7dzn', '7dzm']"
33027,4mji
32970,8i5d
32272,"['7ndq', '7ndu']"
32217,3dxa
31762,3dxa
31967,"['7ndt', '2esv']"
856,8dnt
32239,3ffc
32887,"['3mv8', '4prh', '3mv9', '3mv7', '4prp', '4pri']"
32854,"['6uln', '5tez']"
1026,2ypl
22575,4mji
33242,6vrm
31922,"['6vma', '6vmc', '6vm9']"
1128,7phr
32597,"['7ndt', '2esv']"
85,7byd
29737,"['8gvb', '8gvi', '8gvg']"
31857,7byd
32594,8dnt
32126,3tjh
21671,6uon
32483,7byd
8897,6p64
4716,7n1e
32398,"['1nam', '2ol3', '1fo0']"
31970,3ffc
21960,"['5jzi', '5yxn', '5yxu']"
32052,"['8eo8', '8enh', '8en8']"
31567,"['4g9f', '4g8g']"
32415,3vxm
71,5jhd
1014,"['7rtr', '7n1f']"
182,7pbe
31783,5tez
31782,8shi
32734,"['7nmg', '7nme', '7nmf']"
31803,7n1e
31745,"['6bj3', '6bj8', '5xot']"
31785,6vrm
30154,"['5jzi', '5yxn', '5yxu']"
32505,"['2bnr', '6q3s', '2f53', '2f54', '5nmf']"
32191,"['6vma', '6vmc', '6vm9']"
21451,8i5d
30076,5tez
21438,7phr
32025,5yxu
21651,3vxm
34530,2nx5
15334,"['7n2r', '7n2p', '7n2q']"
31877,5hho
32784,4mji
32773,"['3vxu', '3w0w']"
34532,"['3utt', '5c07', '5c08', '5c09', '5c0a', '3uts', '5c0c', '8wul', '7pb2']"
21439,7qpj
31789,"['6vma', '6vmc', '6vm9']"
21469,"['5bs0', '5brz']"
29729,6p64
32772,"['8eo8', '8enh', '8en8']"
32673,6tro
30996,5isz
302,6uon
34528,5tez
33073,8qfy
32497,"['6bj3', '6bj8', '5xot']"
32019,7n6e
31851,"['7nmg', '7nme', '7nmf']"
31900,"['1nam', '2ol3', '1fo0']"
31800,8dnt
32838,6r2l
31875,5euo
31930,"['3vxu', '3w0w']"
1294,"['7ndt', '2esv']"
31820,4qrr
32715,"['5swz', '7jwi']"
32714,"['3utt', '5c07', '5c08', '5c09', '5c0a', '3uts', '5c0c', '8wul', '7pb2']"
32086,6mtm
32169,6p64
32809,"['3kps', '3kpr', '1mi5']"
32806,5tez
32005,"['1oga', '2vlk', '2vlj', '5hho', '5hhm']"
32943,5d2n
31886,"['3kxf', '2ak4']"
29734,"['8gvb', '8gvi', '8gvg']"
32325,"['3qdm', '3qeq']"
31823,5eu6
31950,3dxa
31915,8gvi
32135,4eup
31821,8dnt
32353,5eu6
32989,"['6vma', '6vmc', '6vm9']"
31956,1bd2
32076,"['3vxu', '3w0w']"
32177,5wlg
32057,4qrp
32997,"['7n2r', '7n2p', '7n2q']"
32851,6vmx
1274,8wte
32100,8dnt
32360,5wlg
32468,"['2nx5', '3vxr', '3vxs']"
29727,"['3kxf', '2ak4']"
32087,6mtm
32216,"['3kxf', '2ak4']"
32221,3vxm
32219,"['2p5e', '2p5w', '2pye']"
31979,2ypl
33039,5men
30989,"['7n2r', '7n2p', '7n2q']"
21452,1bd2
31868,"['7ndq', '7ndu', '6uln']"
32017,"['3qdj', '6d78', '3qdg', '6am5', '6amu', '4l3e', '5c0b']"
32974,6bj2
33142,"['1mwa', '2oi9', '1g6r', '2ckb']"
32499,7qpj
33065,5jhd
32099,"['1mwa', '2oi9', '1g6r', '2ckb']"
30168,8f5a
31846,3o4l
32579,"['2gj6', '1qrn', '3pwp', '1qse', '3d3v', '3d39', '3qfj', '3h9s', '1ao7', '1qsf']"
32446,6rpa
32113,6rsy
32410,"['7nmg', '7nme', '7nmf']"
32848,"['7ndq', '7ndu']"
32002,"['7nmg', '7nme', '7nmf']"
32405,3vxm
32826,"['6vma', '6vmc', '6vm9']"
32735,7n1e
32829,"['3qdm', '3qeq']"
21377,5tez
32188,"['4jfe', '6eqb', '6tmo', '4jff', '4jry']"
32192,4qrp
31729,3o4l
33238,"['7ndq', '7ndu']"
31740,8dnt
34509,5men
31738,5jhd
32150,4mji
32120,"['6bj3', '6bj8', '5xot']"
31910,6mtm
33079,"['3utt', '5c07', '5c08', '5c09', '5c0a', '3uts', '5c0c', '8wul', '7pb2']"
34504,"['6vma', '6vmc', '6vm9']"
32843,"['7ndt', '2esv']"
32866,7n6e
32000,3dxa
32450,6vmx
32956,5jhd
644,3ffc
32023,6avf
33894,4qrp
33250,6rsy
31863,5jhd
32530,1bd2
31790,"['7ndq', '7ndu']"
32723,"['6vm7', '6vm8']"
32942,7byd
32852,2nx5
22625,5jhd
34505,8f5a
21447,"['2nx5', '3vxr', '3vxs']"
32038,5tez
32729,"['8gon', '8gom']"
32314,3o4l
786,"['8gon', '8gom']"
32520,4eup
32888,"['7nmg', '7nme', '7nmf', '8i5c']"
33135,5men
31776,"['7pdw', '7pbc']"
31701,5tez
31927,"['3mv8', '4prh', '3mv9', '3mv7', '4prp', '4pri']"
33333,4jrx
31839,3o4l
31595,"['7n4k', '3pqy', '7n5p']"
31936,8dnt
5867,"['7ndt', '2esv']"
32333,7r80
33074,8shi
32230,8qfy
32364,5e6i
1445,"['3qdj', '6d78', '3qdg', '6am5', '6amu', '4l3e', '5c0b']"
32944,5euo
32721,6rpa
32250,"['3kps', '3kpr', '1mi5']"
32237,5d2l
32226,"['3kps', '3kpr', '8d5q', '1mi5']"
31973,5yxu
31991,7phr
31968,3sjv
32148,8dnt
32035,2ypl
32189,"['7ndq', '7ndu']"
32366,6l9l
32642,5yxu
33085,"['8eo8', '8enh', '8en8']"
31987,6p64
32840,"['7rtr', '7n1f']"
1012,2nx5
21441,"['8gon', '8gom']"
31773,7n1e
31704,5jhd
31753,5euo
32771,7byd
32824,"['3mv8', '4prh', '3mv9', '3mv7', '4prp', '4pri']"
31898,8qfy
30994,5jhd
31784,"['7pdw', '7pbc']"
31802,7l1d
32118,6vrn
21408,"['5jzi', '5yxn']"
32769,4qrr
1009,"['2vlr', '1oga', '2vlk', '2vlj', '5hho', '2ypl', '5hhm']"
31889,"['4jrx', '6bj2']"
31879,5jhd
32103,6vrn
31916,4jfd
31982,"['7pdw', '7pbc']"
32348,"['3kxf', '2ak4']"
32614,6uln
33052,"['1nam', '2ol3', '1fo0']"
32918,6rpb
32940,"['5m02', '5m00', '5m01', '6g9q', '5tje', '5til']"
20942,6p64
32403,"['6vm7', '6vm8']"
34546,4eup
32151,8dnt
29738,6vqo
991,"['5jzi', '5yxn', '5yxu']"
32569,5jhd
32470,"['3kxf', '2ak4']"
31822,"['4g9f', '4g8g']"
21385,"['6bj3', '6bj8', '5xot']"
32176,8f5a
32408,"['7nmg', '7nme', '7nmf']"
32228,"['6bj3', '6bj8', '5xot']"
32251,"['1nam', '2ol3', '1fo0']"
32257,7n6e
32196,"['4g9f', '4g8g']"
31712,"['7pdw', '7pbc']"
32207,6p64
32234,3sjv
30984,6uln
31841,"['8gon', '8gom']"
31844,7n6e
32964,4qrp
519,3dxa
31894,"['3vxr', '3vxs']"
31855,1bd2
172,"['5jzi', '5yxn', '5yxu']"
1967,3o4l
18798,3vxm
32140,7n6e
21375,"['7n2r', '7n2p', '7n2q']"
1525,7r80
32767,"['4g9f', '4g8g']"
32813,1bd2
33094,4eup
32859,"['8eo8', '8enh', '8en8']"
21440,8i5c
31705,7q9b
31754,"['2vlr', '1oga', '2vlk', '2vlj', '5hho', '5hhm']"
31816,5wlg
32528,4jfd
32789,8wte
32765,5tez
32950,6bj2
31835,2nx5
1086,3tjh
31779,"['7nmg', '7nme', '7nmf']"
32688,"['3vxu', '3w0w']"
32062,"['7n2r', '7n2p', '7n2q']"
32790,6r2l
30985,4qrp
33314,"['7nmg', '7nme', '7nmf']"
31833,"['3vxu', '3w0w']"
32679,4qrr
32071,4qrr
32115,5euo
31724,3ffc
32117,"['3kxf', '2ak4']"
31946,"['3kps', '3kpr', '1mi5']"
25739,"['7rtr', '7n1f']"
30095,"['5nht', '5nqk']"
31985,7pbe
34330,4jrx
31955,3o4l
32060,"['7ndq', '7ndu']"
32034,5d2l
32043,"['8gvb', '8gvi', '8gvg']"
32064,1bd2
32892,5tez
31749,2nx5
32979,8cx4
32982,6mtm
32275,5isz
32849,"['8gvb', '8gvi', '8gvg']"
32218,1bd2
31757,"['1oga', '2vlk', '2vlj', '5hho', '5hhm']"
30995,"['7dzn', '7dzm']"
33040,"['8eo8', '8enh', '8en8']"
25965,5eu6
32227,"['7nmg', '7nme', '7nmf']"
31981,6rsy
32577,"['3kps', '3kpr', '1mi5']"
31829,"['8gon', '8gom']"
32054,"['3kps', '3kpr', '1mi5']"
32049,"['5jzi', '5yxn']"
32048,5yxu
31737,"['3utt', '5c07', '5c08', '5c09', '5c0a', '3uts', '5c0c', '8wul', '7pb2']"
32831,"['7q99', '3hg1', '6eqa', '7q9a', '4qok']"
30080,8f5a
32312,8gvi
32033,"['7ndq', '7ndu']"
32021,5isz
32582,7qpj
31756,"['1mwa', '2oi9', '1g6r', '2ckb']"
32908,4mji
31929,"['8eo8', '8enh', '8en8']"
32391,5yxu
32870,1bd2
32750,4mji
32742,7n6e
21383,"['7qpj', '7byd']"
32665,"['7nmg', '7nme', '7nmf']"
32636,5tez
32634,"['7rtr', '7n1f']"
21446,"['3kxf', '2ak4']"
28804,5isz
32511,6rp9
32512,1bd2
33028,"['8eo8', '8enh', '8en8']"
31002,5e6i
1552,"['3vxu', '3w0w']"
31986,2nx5
34531,"['7q99', '3hg1', '6eqa', '7q9a', '4qok']"
32084,5jhd
21384,6vqo
32404,5yxu
31935,6rpb
300,"['8gon', '6p64', '8gom']"
31850,1bd2
32502,"['8dnt', '8eo8', '8enh', '8en8']"
32006,4jfd
32246,4mji
32213,"['1oga', '2vlk', '2vlj', '5hho', '5hhm']"
32201,"['3vxu', '3w0w']"
34520,8wte
30990,"['5jzi', '5yxn', '5yxu']"
32129,7n6e
31874,5euo
32046,2nx5
33255,"['7rtr', '7n1f', '8qfy']"
34481,"['7n2s', '8cx4']"
31836,8f5a
32032,"['3kxf', '2ak4']"
32762,3vxm
32612,8dnt
31861,6vrn
32001,"['3kxf', '2ak4']"
22576,7qpj
33055,6vqo
32310,8dnt
32356,"['3vxr', '3vxs']"
31891,8shi
32513,5tez
31732,"['3mv8', '4prh', '3mv9', '3mv7', '4prp', '4pri']"
31810,"['8gon', '8gom']"
32211,"['3vxr', '3vxs']"
30090,2ypl
32975,3o4l
32051,"['7ndt', '5e6i', '2esv']"
32976,"['7ndq', '7ndu']"
31849,1bd2
31867,"['8gon', '8gom']"
32028,"['2vlr', '1oga', '2vlk', '2vlj', '5hho', '5hhm']"
30144,2nx5
34357,6bj2
32669,"['5nmg', '5nme']"
31734,7pbe
32455,"['7rtr', '7n1f']"
32185,7n6e
30088,"['5nmg', '5nme']"
32040,"['3kxf', '2ak4']"
31775,6vqo
30246,7phr
32053,6rsy
32632,"['7n2r', '7n2p', '7n2q']"
32876,6vrn
32629,"['7n2r', '7n2p', '7n2q']"
30077,"['1nam', '2ol3', '1fo0']"
30116,4mji
32110,5eu6
21381,6tro
32812,"['6vm7', '6vm8']"
32170,"['5nmg', '5nme']"
32477,6p64
22728,"['6ulr', '5hyj']"
32008,5d2n
4477,"['3qdj', '6d78', '3qdg', '6am5', '6amu', '4l3e', '5c0b']"
29730,5e6i
31751,"['5jzi', '5yxn', '5yxu']"
32439,"['6bj3', '6bj8', '5xot']"
32867,"['7ndq', '7ndu']"
1702,"['6zkz', '6zky', '6zkw', '6zkx']"
28890,3o4l
1030,3vxm
31972,8qfy
703,6vqo
32778,5jhd
30997,"['2nx5', '7qpj']"
32903,6avf
1047,3vxm
31847,"['8gon', '8gom']"
31921,"['7rtr', '7n1f']"
31708,"['7ow6', '7ow5']"
31873,5d2l
22566,"['2gj6', '1qrn', '3pwp', '1qse', '3d3v', '6uon', '3d39', '3qfj', '3h9s', '1ao7', '1qsf']"
32837,6rp9
33070,4mji
32845,6p64
33332,"['7rtr', '7n1f']"
758,"['3kps', '3kpr', '1mi5']"
30977,"['7rtr', '7n1f']"
32986,8gvi
31780,1bd2
31770,7n1e
33282,5euo
1063,"['5jzi', '5yxn']"
32105,6avg
32821,"['7q99', '3hg1', '6eqa', '7q9a', '4qok']"
32407,"['3vxr', '3vxs']"
34346,6bj2
32224,7rrg
7869,7n6e
22634,3tjh
22486,7pbe
31871,7byd
32276,1bd2
22565,7n1e
32223,8shi
32209,"['5nmg', '5nme']"
32521,7q9b
31906,7phr
1632,1bd2
30091,4mji
21449,7r80
34507,"['6vm7', '6vm8']"
33129,5yxu
21453,"['5m02', '5m00', '5m01', '6g9q', '5tje', '5til']"
32868,6p64
31534,"['6vm7', '6vm8']"
32156,"['7ndq', '7ndu']"
32973,"['7rtr', '7n1f']"
32666,5euo
32968,5e6i
31963,8f5a
4045,"['7q99', '3hg1', '6eqa', '7q9a', '4qok']"
1052,5yxu
32371,6bj2
32206,6mtm
32412,"['8gvb', '8gvi', '8gvg']"
31948,"['8gvb', '8gvi', '8gvg']"
32395,3o4l
32125,6rpb
33061,"['8gon', '8gom']"
31980,3o4l
19556,3dxa
34325,6bj2
32127,"['6vma', '6vmc', '6vm9']"
32083,6p64
32621,6vrm
31827,7pbe
32905,6mtm
32776,7byd
32203,8dnt
32245,"['8gon', '8gom']"
33021,4mji
21533,1bd2
31971,8shi
32324,"['2vlr', '1oga', '2vlk', '2vlj', '5hhm']"
34490,7n1e
32856,"['8gon', '8gom']"
32631,"['1nam', '2ol3', '1fo0']"
32285,8i5c
32591,6r2l
32077,"['3mv8', '4prh', '3mv9', '3mv7', '4prp', '4pri']"
33214,7pbe
31965,7byd
32834,2nx5
31819,"['7nmg', '7nme', '7nmf']"
32938,1bd2
32998,"['5nmg', '5nme']"
34508,1bd2
31739,"['3vxr', '3vxs']"
32303,3o4l
32282,"['2p5e', '2p5w', '2pye']"
29732,"['3mv8', '4prh', '3mv9', '3mv7', '4prp', '4pri']"
30078,3tjh
32519,"['2bnr', '6q3s', '2f53', '2f54', '5nmf']"
31854,7r80
32321,"['7nmg', '7nme', '7nmf']"
32846,"['7q99', '3hg1', '6eqa', '7q9a', '4qok']"
30988,"['6vma', '6vmc', '6vm9']"
33069,8gvi
32121,3dxa
31878,5eu6
32825,3gsn
31883,"['8gvb', '8gvi', '8gvg']"
31938,3vxm
32423,5tez
31993,5jhd
31840,7pbe
34533,3ffc
31899,"['2bnr', '6q3s', '2f53', '2f54', '5nmf']"
32668,"['3kps', '3kpr', '1mi5']"
29718,6bj2
29731,1bd2
31843,5tez
32427,5jhd
34340,4jrx
32233,"['7nmg', '7nme', '7nmf']"
32229,6rpa
33034,5d2l
5459,1bd2
32058,7pbe
32138,"['8gon', '8gom', '6uln']"
32304,"['2bnr', '6q3s', '2f53', '2f54', '5nmf']"
32287,"['6vma', '6vmc', '6vm9']"
32294,6bj2
33144,"['5jzi', '5yxn', '5yxu']"
32193,6bj2
28822,4mji
32820,"['7n4k', '3pqy', '7n5p']"
31924,6vqo
32460,"['3vxu', '3w0w']"
32042,"['8eo8', '8enh', '8en8']"
32807,6mtm
32067,6bj2
32707,"['7n2r', '6bj3', '7n2p', '7n2q', '6bj8', '5xot']"
31799,"['3vxu', '3w0w']"
32517,"['3kps', '3kpr', '1mi5']"
32190,6tro
32386,"['7pdw', '7pbc']"
30755,"['8gvb', '8gvi', '8gvg']"
33063,7rrg
33104,"['5bs0', '5brz']"
32073,"['3utt', '5c07', '5c08', '5c09', '5c0a', '3uts', '5c0c', '8wul', '7pb2']"
32045,5eu6
31954,4mji
32456,4qrp
31865,8dnt
31862,6p64
32828,6uon
34495,"['7n2r', '7n2p', '7n2q']"
31959,5tez
32910,"['3kps', '3kpr', '1mi5']"
21450,"['3kps', '3kpr', '1mi5']"
31828,"['7nmg', '7nme', '7nmf']"
32330,4qrp
31869,"['2vlr', '1oga', '2vlk', '2vlj', '5hho', '5hhm']"
32952,"['8eo8', '8enh', '8en8']"
31856,"['7nmg', '7nme', '7nmf']"
32119,6vrm
33066,6mtm
33471,7n6e
32338,"['4g9f', '4g8g']"
32311,7n6e
32501,3vxm
33340,"['7ndq', '7ndu']"
31966,4qrp
31892,3dxa
32273,"['7pdw', '7pbc']"
32685,8d5q
31969,6p64
32200,6rp9
21378,6avg
32041,8f5a
32056,"['3vxu', '3w0w']"
14772,5wlg
32842,"['3kps', '3kpr', '1mi5']"
32993,"['4g9f', '4g8g']"
32030,"['3kxf', '2ak4']"
22586,3o4l
33236,"['7n2r', '7n2p', '7n2q']"
33000,5wlg
21443,"['7n2r', '7n2p', '7n2q']"
30139,8shi
30231,5e6i
33103,5tez
31896,5jhd
34348,6bj2
34501,8dnt
